name,address,reviews,dessert,Hours,url,image 
The Original Chinatown Ice Cream Factory,"65 Bayard St, New York, NY 10013",4.5,icecream,Mon-Sun 11am-10pm,http://www.chinatownicecreamfactory.com/,https://www.ahoynewyorkfoodtours.com/wp-content/uploads/2016/04/Chinatown-Ice-Cream-Factory.jpg
jacques torres ice cream,"89 East 42nd Street
Grand Central Terminal",no review,cookies,"Monday – Saturday: 9am-9pm
Sunday: 11am-7pm",https://mrchocolate.com/blogs/locations/ice-cream-grand-central,https://cdn.shopify.com/s/files/1/2622/7352/files/Screen-Shot-2017-07-17-at-2.14.17-PM-1024x823_1024x1024.png?v=1515019718
Dominique Ansel Bakery,"189 Spring St, New York, NY 10012",no review,cookies,Mon-sun 7am-8pm ,https://www.dominiqueansel.com/,https://yorkavenueblog.com//wp-content/uploads/2014/04/Dominique-Ansel-pastry-case2-640x427.jpg
Levain Bakery,340 LAFAYETTE ST.,no review,cookies,7am-10pm ,https://levainbakery.com/,
Maman bakery ,"soho - 239 centre st, nyc
marché maman - 237 centre st, nyc 
tribeca -  211 west broadway, nyc",no review,dining and dessert ,"M-F 7am-6pm 
S-S 8am-6pm",https://www.mamannyc.com/,
Ray's Candy Store,"113 Avenue A, New York, NY 10009",4.7,dessert ,24 hr ,https://www.instagram.com/rayscandystore/?hl=en,
Eileen's Special Cheesecake,"17 Cleveland Pl, New York, NY 10012",4.6,dessert ,"mon-fri 9AM–9PM
Sat-sun        11AM–8Pm",https://www.eileenscheesecake.com/,
Eggloo," 60 Mulberry St, New York, NY 10013",4.4,icecream,"mon-thurs,sun 12–10PM, f-s 12-11",https://www.myeggloo.com/mobile,
Flour shop ,"177 Lafayette St, New York, NY 10013",4.3,dessert ,mon-thurs 11am-7:30pm ,https://flourshop.com/#,
Ample hills creamery ,"141 8th avenue New York, NY 10011",4.5,icecream,"Sun–Thu 12:00pm-10:00pm
Fri–Sat. 12:00pm-11:00pm",https://www.amplehills.com/,
Cha cha matcha ,"1158 BROADWAY
NEW YORK, NY 10011",4.3,dessert ,"Mon- Fri 8:00 AM – 7:30 PM
SAT-sun 9:00 AM – 7:30 PM",https://chachamatcha.com/,
Taiyaki nyc,"119 Baxter Street, NY 10013",4.6,icecream,"MON-THR 12:00-10:00PM
FRI-SAT 11:00-11:00PM
SUN 11:00-10:00PM",https://taiyakinyc.com/,
Magnolia Bakery,"401 Bleecker Street and W. 11th Street
New York, NY 200 Columbus Avenue at 69th Street
New York, NY",4,dessert & pastry ,"Sun.-Thur.: 9:30am – 10:30pm
Fri.-Sat.: 9:30am – 11:30pm",https://www.magnoliabakery.com/,
PopBar,"5 Carmine St, New York, NY 10014",4.4,icecream,"Sun - Wed:  12 - 10PM
Thurs:  12 - 11PM
Fri - Sat:  12PM - 12AM",https://www.pop-bar.com/,
The Little One ,"150 E Broadway, New York, NY 10002",4.7,pastry,"Mon-Thurs 1-9PM Wed-CLOSED
Fri 1-10PM Sat 12-10PM
Sun 12-9PM
",https://www.instagram.com/thelittleonenyc/?hl=en,
Stax IceCream," 279 Grand St, New York, NY 10002",4.6,icecream & pastry,"Mon- Fri 12:00 pm - 10:00 pm
Sat 12:00 pm - 12:00 am
Sun 12:00 pm - 10:00 ",https://www.staxicecream.com/,
Alimama,"89A Bayard St, New York, NY 10013",4.7,dessert ,OPEN DAILY 11:30AM-8:30PM,https://www.alimamanyc.com/,
Matcha n More ,"177 Hester St New York, NY 10013",4.3,,,https://www.matchanmore.com/,
Bar Pa Tea," 85 Kenmare Street store #2, New York, NY 10012",4.4,dessert&drink,"Sunday to Thursday, 12pm - 9pm
Friday to Saturday, 12pm- 10pm",https://www.barpatea.com/,
Kay's Boutique Toast,"240 Mulberry St New York, NY 10012",,,,,
Momacha,,,,,,
Mochii ,,,,,,
Clay Pot NYC,,,,,,
Hot Box,,,,,,
