name,address,reviews,dessert,url,image
Eileen's Special Cheesecake,"17 Cleveland Pl, New York, NY 10012",4.6,Pastry,https://www.eileenscheesecake.com/,https://images.squarespace-cdn.com/content/v1/5d9ca4a434c0c7225f1df74b/1573222225123-ZU7JLBMTK05JQ5C68RHR/ke17ZwdGBToddI8pDm48kPJXHKy2-mnvrsdpGQjlhod7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QHyNOqBUUEtDDsRWrJLTmihaE5rlzFBImxTetd_yW5btdZx37rH5fuWDtePBPDaHF5LxdCVHkNEqSYPsUQCdT/Cake_Sampler_White_1.jpg?format=1500w
Eggloo," 60 Mulberry St, New York, NY 10013",4.4,Icecream,https://www.myeggloo.com/mobile,https://www.cherriealmonte.com/wp-content/uploads/2017/05/img_4592-1440x1440.jpg
Flour shop,"177 Lafayette St, New York, NY 10013",4.3,Pastry,https://flourshop.com/#,https://i.pinimg.com/originals/af/ae/32/afae3213fb614089fa5c5b49aa65d0e7.jpg
Ample Hills Creamery,"141 8th avenue New York, NY 10011",4.5,Icecream,https://www.amplehills.com/,https://cdn.shopify.com/s/files/1/0626/8689/files/BBM_ICE_CREAM_SUM_OF_LOVE.jpg?v=1529348109
Cha Cha Matcha,"1158 BROADWAY
NEW YORK, NY 10011",4.3,Pastry,https://chachamatcha.com/,https://i.pinimg.com/originals/13/77/1a/13771a2fbfdd8a4d6c4bc08f769b5b25.jpg
Taiyaki Nyc,"119 Baxter Street, NY 10013",4.6,Icecream,https://taiyakinyc.com/,https://cdn.vox-cdn.com/thumbor/dbFlGH8TcZiETnSH1pGFULQkRSs=/1400x1400/filters:format(jpeg)/cdn.vox-cdn.com/uploads/chorus_asset/file/13699892/42854476_452213585183008_3082217601334509568_n.jpg
Magnolia Bakery,"401 Bleecker Street and W. 11th Street
New York, NY 200 Columbus Avenue at 69th Street
New York, NY",4,Pastry,https://www.magnoliabakery.com/,https://pbs.twimg.com/media/EOWovyCX0AAqQZ1.jpg
PopBar,"5 Carmine St, New York, NY 10014",4.4,Icecream,https://www.pop-bar.com/,https://i.pinimg.com/originals/d7/92/c9/d792c9ea55aa17850dbf5090b33f5bac.jpg
The Little One,"150 E Broadway, New York, NY 10002",4.7,Pastry,https://www.instagram.com/thelittleonenyc/?hl=en,https://www.tipstereats.com/static/team/2018/0919/15373481909234.jpg
Stax IceCream," 279 Grand St, New York, NY 10002",4.6,Icecream,https://www.staxicecream.com/,https://pbs.twimg.com/media/D8QoeDxXoAA9mqd.jpg
Alimama,"89A Bayard St, New York, NY 10013",4.7,Pastry,https://www.alimamanyc.com/,https://secretnyc.co/wp-content/uploads/2020/02/68802214_114134946420768_1273465729392936064_n.jpg
Matcha n More,"177 Hester St New York, NY 10013",4.3,Pastry,https://www.matchanmore.com/,https://images.squarespace-cdn.com/content/v1/5a5d1b5d4c326d9d5c126860/1566671748692-S15PSDPU3BX91K2M75OG/ke17ZwdGBToddI8pDm48kHem505q6McQd8XRhQc9zkRZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpxpEURhgSBEh9ILe0HKIG3CcOCklsxWwam3CdWF6Xw7jwVv5P97BEtB5XaVnmvMtTA/image-asset.jpeg
Bar Pa Tea," 85 Kenmare Street store #2, New York, NY 10012",4.4,Pastry,https://www.barpatea.com/,"https://img.buzzfeed.com/buzzfeed-static/static/2019-09/26/21/asset/d0a6de57fc80/sub-buzz-277-1569534227-1.jpg?crop=1080:982;0,240"
Kay's Boutique Toast,"240 Mulberry St New York, NY 10012",,,,
Momacha,,,,,
Mochii,,,,,
Clay Pot NYC,,,,,
Hot Box,,,,,
